PassengerId,Survived,Sex,Age,SibSp,Parch,Ticket,Fare,Embarked,Pclass
152,1,female,22.0,1,0,113776.0,66.6,S,1
349,1,male,3.0,1,1,236171.0,15.9,S,3
342,1,female,24.0,3,2,19950.0,263.0,S,1
567,0,male,19.0,0,0,349205.0,7.8958,S,3
132,0,male,20.0,0,0,236171.0,7.05,S,3
48,1,female,28.0,0,0,14311.0,7.75,Q,3
655,0,female,18.0,0,0,365226.0,6.75,Q,3
766,1,female,51.0,1,0,13502.0,77.9583,S,1
869,0,male,28.0,0,0,345777.0,9.5,S,3
496,0,male,28.0,0,0,2627.0,14.4583,C,3
878,0,male,19.0,0,0,349212.0,7.8958,S,3
713,1,male,48.0,1,0,19996.0,52.0,S,1
459,1,female,50.0,0,0,236171.0,10.5,S,2
435,0,male,50.0,1,0,13507.0,55.9,S,1
891,0,male,32.0,0,0,370376.0,7.75,Q,3
666,0,male,32.0,2,0,236171.0,73.5,S,2
544,1,male,32.0,1,0,2908.0,26.0,S,2
261,0,male,28.0,0,0,384461.0,7.75,Q,3
507,1,female,33.0,0,2,26360.0,26.0,S,2
570,1,male,32.0,0,0,350417.0,7.8542,S,3
638,0,male,31.0,1,1,236171.0,26.25,S,2
155,0,male,28.0,0,0,236171.0,7.3125,S,3
334,0,male,16.0,2,0,345764.0,18.0,S,3
551,1,male,17.0,0,2,17421.0,110.8833,C,1
560,1,female,36.0,1,0,345572.0,17.4,S,3
720,0,male,33.0,0,0,347062.0,7.775,S,3
139,0,male,16.0,0,0,7534.0,9.2167,S,3
787,1,female,18.0,0,0,3101265.0,7.4958,S,3
35,0,male,28.0,1,0,236171.0,82.1708,C,1
257,1,female,28.0,0,0,236171.0,79.2,C,1
775,1,female,54.0,1,3,29105.0,23.0,S,2
160,0,male,28.0,8,2,236171.0,69.55,S,3
273,1,female,41.0,0,1,250644.0,19.5,S,2
299,1,male,28.0,0,0,19988.0,30.5,S,1
68,0,male,19.0,0,0,236171.0,8.1583,S,3
438,1,female,24.0,2,3,29106.0,18.75,S,2
343,0,male,28.0,0,0,248740.0,13.0,S,2
500,0,male,24.0,0,0,350035.0,7.7958,S,3
751,1,female,4.0,1,1,29103.0,23.0,S,2
205,1,male,18.0,0,0,236171.0,8.05,S,3
646,1,male,48.0,1,0,236171.0,76.7292,C,1
449,1,female,5.0,2,1,2666.0,19.2583,C,3
658,0,female,32.0,1,1,364849.0,15.5,Q,3
734,0,male,23.0,0,0,28425.0,13.0,S,2
618,0,female,26.0,1,0,236171.0,16.1,S,3
51,0,male,7.0,4,1,3101295.0,39.6875,S,3
721,1,female,6.0,0,1,248727.0,33.0,S,2
125,0,male,54.0,0,1,35281.0,77.2875,S,1
682,1,male,27.0,0,0,236171.0,76.7292,C,1
839,1,male,32.0,0,0,1601.0,56.4958,S,3
265,0,female,28.0,0,0,382649.0,7.75,Q,3
418,1,female,18.0,0,2,250652.0,13.0,S,2
849,0,male,28.0,0,1,248727.0,33.0,S,2
772,0,male,48.0,0,0,350047.0,7.8542,S,3
57,1,female,21.0,0,0,236171.0,10.5,S,2
303,0,male,19.0,0,0,236171.0,0.0,S,3
475,0,female,22.0,0,0,7553.0,9.8375,S,3
797,1,female,49.0,0,0,17465.0,25.9292,S,1
207,0,male,32.0,1,0,3101278.0,15.85,S,3
417,1,female,34.0,1,1,28220.0,32.5,S,2
425,0,male,18.0,1,1,370129.0,20.2125,S,3
520,0,male,32.0,0,0,349242.0,7.8958,S,3
131,0,male,33.0,0,0,349241.0,7.8958,C,3
747,0,male,16.0,1,1,236171.0,20.25,S,3
580,1,male,32.0,0,0,236171.0,7.925,S,3
543,0,female,11.0,4,2,347082.0,31.275,S,3
323,1,female,30.0,0,0,234818.0,12.35,Q,2
365,0,male,28.0,1,0,370365.0,15.5,Q,3
292,1,female,19.0,1,0,11967.0,91.0792,C,1
680,1,male,36.0,0,1,236171.0,512.3292,C,1
154,0,male,40.5,0,2,236171.0,14.5,S,3
458,1,female,28.0,1,0,17464.0,51.8625,S,1
513,1,male,36.0,0,0,236171.0,26.2875,S,1
260,1,female,50.0,0,1,230433.0,26.0,S,2
840,1,male,28.0,0,0,11774.0,29.7,C,1
186,0,male,28.0,0,0,113767.0,50.0,S,1
443,0,male,25.0,1,0,347076.0,7.775,S,3
474,1,female,23.0,0,0,236171.0,13.7917,C,2
189,0,male,40.0,1,1,364849.0,15.5,Q,3
107,1,female,21.0,0,0,343120.0,7.65,S,3
613,1,female,28.0,1,0,367230.0,15.5,Q,3
198,0,male,42.0,0,1,4579.0,8.4042,S,3
430,1,male,32.0,0,0,236171.0,8.05,S,3
81,0,male,22.0,0,0,345767.0,9.0,S,3
